Country;Year;Medals Won;Medals Last Year;GDP;Populatie;Land in Km2;HostCountry
Pakistan;2016;0;0;283660000000;188924874;907843;0
Oman;2004;0;0;37500000000;2903165;309500;0
Oman;2008;0;0;60905452458;3204897;309500;0
Oman;2012;0;0;66800000000;2773479;309500;0
Oman;2016;0;0;66293000000;4490541;309500;0
Norway;2004;6;10;171600000000;4574560;385207;0
Norway;2008;9;6;462250000000;4627926;304280;0
Norway;2012;4;9;479300000000;5050600;323802;0
Norway;2012;4;4;479300000000;5050600;385207;0
Norway;2016;4;4;370557000000;5195921;385207;0
North Korea;2004;5;4;13337000000;;120540;0
North Korea;2008;6;5;13337000000;24310000;120540;0
North Korea;2012;6;6;15907000000;24554000;120540;0
Nigeria;2004;0;3;110800000000;137253133;923768;0
Nigeria;2008;5;0;337036000000;135031164;910770;0
Nigeria;2012;0;5;247100000000;166629000;923768;0
Nigeria;2016;1;0;247100000000;182201962;923768;0
Niger;2004;0;0;9062000000;11360538;1267000;0
Niger;2008;0;0;7297600897;12894865;1270000;0
Niger;2012;0;0;6500000000;16274738;1267000;0
Niger;2016;1;0;7509000000;19899120;1267000;0
Nicaragua;2004;0;0;11490000000;5359759;130373;0
Nicaragua;2008;0;0;8496946608;5675356;119990;0
Nicaragua;2012;0;0;7100000000;6071045;130373;0
Nicaragua;2016;0;0;13231000000;6082032;130373;0
New Zealand;2004;5;4;85260000000;3993817;270467;0
New Zealand;2008;9;5;133290000000;4115771;267710;0
New Zealand;2012;13;9;168800000000;4446900;270467;0
New Zealand;2016;18;13;185017000000;4595700;270467;0
Netherlands;2004;22;25;461400000000;16318199;41850;0
Netherlands;2008;16;22;947998000000;16570613;33760;0
Netherlands;2012;20;16;858300000000;16765558;41850;0
Netherlands;2016;19;20;770845000000;16936520;41850;0
Nepal;2004;0;0;38070000000;27070666;147181;0
Nepal;2008;0;0;12545438605;28901790;143350;0
Nepal;2012;0;0;18300000000;26620809;147181;0
Nepal;2016;0;0;21144000000;28513700;147181;0
Nauru;2004;0;0;60000000;12809;21;0
Nauru;2008;0;0;39290000;13528;21;0
Nauru;2012;0;0;39290000;10000;21;0
Nauru;2016;0;0;102000;10222;21;0
Namibia;2004;0;0;13720000000;1954033;825615;0
Namibia;2008;0;0;84964924920;2055080;823290;0
Namibia;2012;0;0;13000000000;2104900;752612;0
Namibia;2012;0;0;13000000000;2104900;825615;0
Namibia;2016;0;0;10267000000;2458830;825615;0
Myanmar;2004;0;0;31862554102;;676578;0
Myanmar;2008;0;0;31862554102;49930000;676575;0
Myanmar;2012;0;0;67430000000;48724000;676578;0
Myanmar;2016;0;0;67430000000;53050000;676578;0
Mozambique;2004;0;1;21230000000;18811731;801590;0
Mozambique;2008;0;0;12556195189;20905585;786380;0
Mozambique;2012;0;0;12100000000;23700715;801590;0
Mozambique;2016;0;0;11015000000;27977863;801590;0
Morocco;2004;3;5;128300000000;32209101;446550;0
Morocco;2008;2;3;92507257784;33757175;446300;0
Morocco;2012;0;2;101800000000;32741100;446550;0
Morocco;2016;1;0;101445000000;34377511;446550;0
Montenegro;2004;0;0;4545674528;;13812;0
Montenegro;2008;0;0;4545674528;684736;14026;0
Montenegro;2012;0;0;4200000000;620029;13812;0
Montenegro;2016;0;0;4173000000;622303;13812;0
Mongolia;2004;0;0;4877000000;2751314;1564110;0
Mongolia;2008;4;0;5623216449;2951786;1550000;0
Mongolia;2012;5;4;8800000000;2736800;1564110;0
Mongolia;2016;2;5;1116000000;2959134;1564110;0
Monaco;2004;0;0;8700000000;32270;202;0
Monaco;2008;0;0;6476490406;32671;2;0
Monaco;2012;0;0;5470000000;35000;202;0
Moldova;2004;0;2;7792000000;4446455;33846;0
Moldova;2008;1;0;6054849885;4320490;32890;0
Moldova;2012;0;1;7200000000;3559500;33846;0
Moldova;2016;0;0;6750000000;3554150;33846;0
Mexico;2004;4;6;942200000000;104959594;1964375;0
Mexico;2008;4;4;1109990000000;108700891;1940000;0
Mexico;2012;0;4;1185000000000;112336538;1964375;0
Mexico;2016;5;0;1046000000000;127017224;1964375;0
Mauritius;2004;0;0;13850000000;1220481;2040;0
Mauritius;2008;1;0;9990370016;1250882;2030;0
Mauritius;2012;0;1;11000000000;1286051;2040;0
Mauritius;2016;0;0;12164000000;1262605;2040;0
Mauritania;2004;0;0;5195000000;2998563;1030700;0
Mauritania;2008;0;0;5138471610;3270065;1030000;0
Mauritania;2012;0;0;4000000000;3378254;1030700;0
Mauritania;2016;0;0;4635000000;4067564;1030700;0
Marshall Islands;2004;0;0;115000000;57738;181;0
Marshall Islands;2008;0;0;153135800;61815;180;0
Marshall Islands;2012;0;0;161700000;54305;181;0
Marshall Islands;2016;0;0;183000000;57735;181;0
Malta;2004;0;0;7082000000;396851;316;0
Malta;2008;0;0;9090406750;401880;320;0
Malta;2012;0;0;9300000000;417617;316;0
Malta;2016;0;0;10949000000;431333;316;0
Mali;2004;0;0;10530000000;11956788;1240192;0
Mali;2008;0;0;9798741074;11995402;1220000;0
Mali;2012;0;0;11000000000;14528662;1240192;0
Mali;2016;0;0;14045000000;17599694;1240192;0
Maldives;2004;0;0;1250000000;339330;300;0
Maldives;2008;0;0;2271646188;369031;300;0
Maldives;2012;0;0;2100000000;317280;300;0
Maldives;2016;0;0;3591000000;409163;300;0
Malaysia;2004;0;0;207200000000;23522482;330803;0
Malaysia;2008;1;0;230814000000;24821286;328550;0
Malaysia;2012;0;1;247600000000;29570000;330803;0
Malaysia;2016;5;0;296359000000;30331007;330803;0
Malawi;2004;0;0;6845000000;11906855;118484;0
Malawi;2008;0;0;5321012192;13603181;94080;0
Malawi;2012;0;0;5700000000;15883000;118484;0
Malawi;2012;0;0;5700000000;15883000;1240192;0
Malawi;2016;0;0;5442000000;17215232;118484;0
Madagascar;2004;0;0;13020000000;17501871;587041;0
Madagascar;2008;0;0;10725137478;19448815;581540;0
Madagascar;2012;0;0;9400000000;20696070;587041;0
Madagascar;2016;0;0;9991000000;24235390;587041;0
Macedonia;2008;0;0;99100000000;2055915;25713;0
Macedonia;2016;0;0;10900000000;2078453;25713;0
Luxembourg;2004;0;0;25010000000;462690;2586;0
Luxembourg;2008;0;0;55849686539;480222;2590;0
Luxembourg;2012;0;0;62900000000;511800;2586;0
Luxembourg;2016;0;0;59948000000;569676;2586;0
Lithuania;2004;3;5;40170000000;3607899;65300;0
Lithuania;2008;5;3;47797551588;3575439;62680;0
