"danceability","instrumentalness","liveness","valence","track.duration_ms","track.name","track.popularity","track.album.release_date","track.uri"
0.767,8.08e-05,0.132,0.804,237760,"Somebody's Watching Me - Single Version",41,"2017-09-27","spotify:track:6A4Jc8npNo79BOgsrPptLA"
0.373,0.439,0.108,0.0662,397160,"Journey of the Sorcerer - 2013 Remaster",53,"1975","spotify:track:3OcBH9Vzd1UwJkQd3r1dVG"
0.474,9.47e-06,0.0714,0.462,193106,"Come Together",0,"2017-11-10","spotify:track:7nH25Sd41nq26B5lkhTUSv"
0.677,0.000207,0.121,0.572,219720,"When I Was Young",50,"2017-10-26","spotify:track:5UEvfBx5yQ14HALjI8jk3t"
0.55,0,0.2,0.581,177826,"You're Gonna Go Far, Kid",0,"2008-06-17","spotify:track:2G8IHtLBcgu2GXTwq0iB4Y"
0.488,0.000833,0.181,0.326,218693,"Sleepwalking",60,"2013-09-24","spotify:track:1zdsOgv1hdGGGe9CK1QPY7"
0.764,0,0.717,0.767,225173,"Remind Me",0,"2017-12-15","spotify:track:0OMt4Qyetdbw2eUEvKBdHH"
0.671,8.01e-05,0.0481,0.732,295893,"Africa",85,"1982-04-08","spotify:track:2374M0fQpWi3dLnB54qaLX"
0.397,1.55e-06,0.111,0.367,327400,"Proud Mary",69,"1993","spotify:track:6gJdDnF2TzfA1WPMXuCa3x"
0.597,0.00114,0.839,0.447,171360,"Call on Me - Radio Mix",76,"2004-09-10","spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff"
0.41,0,0.0843,0.824,205933,"Come On Eileen",0,"2009-01-01","spotify:track:3xKsPtA5XG91Zlh0SyycmM"
0.421,0,0.272,0.48,190626,"Non non rien n'a changé",0,"1994-01-01","spotify:track:3ED5A9lF0SNl3Ne5OMFhvr"
0.587,0.000847,0.167,0.525,188134,"Little Lies",34,"2017-10-06","spotify:track:56f7rAwNVbANZjLvWqiQE0"
0.163,0.728,0.107,0.0372,106853,"Strauss, R: Also sprach Zarathustra, Op. 30 (Opening)",0,"2006-03-15","spotify:track:69LB9z1VAMGdFpa2R5KSU7"
0.489,0.185,0.287,0.15,300400,"Baba O'Riley",0,"1971-08-14","spotify:track:2KmEgiY8fQs0G6WNxtzQKr"
0.507,1.4e-06,0.0658,0.272,243960,"Midnight City",0,"2011-10-18","spotify:track:4kO7mrAPfqIrsKwUOK5BFx"
0.532,0.000513,0.39,0.755,210173,"You Shook Me All Night Long",82,"1980-07-25","spotify:track:2SiXAy7TuUkycRVbbWDEpo"
0.824,0.376,0.247,0.554,306000,"Freestyler",60,"2000-05-22","spotify:track:4eZO97RGFo7IN6gm24Nv0S"
0.572,0.000376,0.0702,0.796,241599,"Jump - 2015 Remaster",81,"1984-01-04","spotify:track:7N3PAbqfTjSEU1edb2tY8j"
0.755,1.27e-06,0.291,0.735,199693,"TiK ToK",1,"2010","spotify:track:6nYoTBmGFNgfTyRC8x1Fvp"
0.384,0.921,0.102,0.33,164502,"Mall Rat",0,"2007-03-26","spotify:track:3Vsq1c5g6QovbExcgGPe1s"
0.414,0.000721,0.114,0.37,308853,"Take The Long Way Home - 2010 Remastered",0,"1979-03-29","spotify:track:3gaARvSWxkkbkjtTrmkVZH"
0.893,0,0.0943,0.872,223413,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",76,"2017-06-30","spotify:track:5bcTCxgc7xVfSaMV3RuVke"
0.284,0.000461,0.402,0.595,340907,"Alive",77,"1991-08-27","spotify:track:1L94M3KIu7QluZe63g64rv"
0.645,0.000154,0.0607,0.538,192000,"It Ain't Me - Tiësto's AFTR:HRS Remix",54,"2017-04-07","spotify:track:6PnfLB5Z1DtXFMqhNn6wDY"
0.162,0.944,0.352,0.14,205573,"Star Trek Main Theme",0,"2013-05-17","spotify:track:1b3aD5NpLcDHeqF4yAofMz"
0.652,0,0.0404,0.279,181672,"Without You (feat. Sandro Cavazza)",4,"2017-08-10","spotify:track:6WbADFqMvR8N5u0BvtsWQE"
0.475,2.29e-06,0.913,0.511,207333,"I Can't Sleep Without You - Live",32,"1992-05-11","spotify:track:4VUycAekQ39AXPiEQDGCbh"
0.67,1.58e-05,0.142,0.893,223266,"Zoutelande (feat. Geike)",60,"2017-10-20","spotify:track:0le8EcVp4x1JjMhwRKIOVi"
0.366,0.0122,0.115,0.211,366213,"Knights of Cydonia",70,"2006-06-19","spotify:track:7ouMYWpwJ422jRcDASZB7P"
0.729,0,0.111,0.554,232506,"A New day feat.Jas Mace& Anika Hazel feat. Jas Mace & Anika Hazel",15,"2011-05-25","spotify:track:6465sRGR86E0v7LRepkPpE"
0.814,1.57e-06,0.0476,0.615,180266,"Three Little Birds",0,"1977-01-01","spotify:track:4efoEY8iDBzUqitjmNDhpN"
0.134,0.872,0.112,0.0798,123000,"The Ring Goes South",50,"2001-11-19","spotify:track:6IQY3GEMC2B3mchMvi4NZj"
0.31,0.000138,0.377,0.743,209128,"Semicircle Song",25,"2018-01-19","spotify:track:3FTAyczZxw7Ph98lMtINLw"
0.601,0,0.0717,0.676,312346,"Four Out Of Five",62,"2018-05-10","spotify:track:5Z5nbOXhsSbySVC7WUc6y9"
0.752,0,0.119,0.82,212327,"Liefde In De Lucht",54,"2018-06-08","spotify:track:3xbLeZAtP6yVnsgP3EGlie"
0.294,0.125,0.676,0.347,210106,"School's Out",69,"1972","spotify:track:5Z8EDau8uNcP1E8JvmfkZe"
0.492,0.893,0.121,0.0726,105880,"Fireworks",55,"2007-07-07","spotify:track:2lRDMjTOqv4a9mrIrgZYmX"
0.428,0.000211,0.728,0.92,131520,"Holiday Road - National Lampoon's Vacation",57,"1983","spotify:track:38i0QcGQ9hu8PMk4QObUTj"
0.703,5.65e-06,0.274,0.366,205946,"no tears left to cry",5,"2018-04-20","spotify:track:5SxkdsY1ufZzoq9iXceLw9"
0.632,0.0211,0.125,0.784,197933,"Humility (feat. George Benson)",51,"2018-05-31","spotify:track:5fGWdNGGnvKrrHL6U7c1Vp"
0.306,0.376,0.107,0.603,178386,"Sabotage",13,"2005-01-01","spotify:track:35NvG75Mm4IqYFnm3EnOaG"
0.262,0.113,0.12,0.264,182733,"Live And Let Die",71,"1991-09-17","spotify:track:0rFWuqFgHAfuzE8uSB9TWR"
0.45,0.538,0.0913,0.24,140125,"Wakanda",0,"2018-02-16","spotify:track:5vHsuw1Bx5tZj9yQ3ZQaqi"
0.851,0,0.0827,0.807,219466,"I'm Gonna Be (500 Miles)",76,"2003-09-01","spotify:track:66S14BkJDxgkYxLl5DCqOz"
0.577,0,0.142,0.581,230613,"Waiting For Love",1,"2015-10-02","spotify:track:6nsLzJfvp5OLd4mgqUJkpq"
0.577,4.18e-05,0.17,0.575,195093,"Good Morning",0,"2007-09-11","spotify:track:27eO3EGKIUU7yug1eOxUZu"
0.82,0.0186,0.257,0.931,272106,"All I Wanna Do",70,"1993-08-03","spotify:track:3ZpQiJ78LKINrW9SQTgbXd"
0.591,5.98e-06,0.0818,0.658,329413,"Edge of Seventeen - 2016 Remaster",66,"2016-11-04","spotify:track:5LNiqEqpDc8TuqPy79kDBu"
0.854,0,0.354,0.549,225773,"This Is America",76,"2018-05-06","spotify:track:0b9oOr2ZgvyQu88wzixux9"
0.525,0.895,0.0927,0.208,185815,"Wolf Blood",45,"2013-05-05","spotify:track:53ZtYTszCIJxCAEdy03xGc"
0.5,4.01e-05,0.139,0.745,263333,"Send Me on My Way",74,"1996-11-12","spotify:track:6hs3SDnbO3f6VQuPO4KBEb"
0.254,6.29e-05,0.34,0.216,290586,"Deceit & Woo",19,"2018-05-04","spotify:track:3XN3CI0QupyPEgZpHT76ZZ"
